UF Nome cli      Cidade
"CA";"Butternut ";"El Centro"
"CA";"Shark Snac";"San Francisc"
"CA";"Pocket Bil";"Phelan"
"CA";"Abc Sports";"Newtown"
"CA";"Alpine Sno";"Los Angeles"
"CA";"Tennis, An";"Scarsfield"
"CA";"Fitz's Fly";"Sonoma"
"CA";"Big 5 Spor";"Redwood City"
"CA";"Redondo Sp";"Redondo Beach"
"CA";"Adin Suppl";"Adin"
"CA";"Hot Feet";"Tracy"
"CA";"Pacific Un";"Tracy"
"CA";"Bud's Spor";"Truckee"
"CA";"Any Mounta";"Redwood City"
"CA";"Nomad Cycl";"San Francisco"
"CA";"On The Run";"San Francisco"
"CA";"Pacific Bi";"San Francisco"
"CA";"Paint Ball";"Merced"
"CA";"S & S Gear";"Mi Wuk Village"
"CA";"Sierra Ang";"Modesto"
"CA";"Copeland S";"Culver City"
"CA";"Golden Bea";"Culver City"
"CA";"Payless Dr";"King City"
"CA";"L A Gym Eq";"Los Angeles"
"CA";"Main Event";"Los Angeles"
"CA";"Alameda Sk";"Alameda"
"CA";"Am-cam Spo";"Culver City"
